wl mean sd sem
457 1.56833911007075 NA NA
458 1.56784567876357 NA NA
459 1.56735556904247 NA NA
460 1.56686874546931 NA NA
461 1.56638517308889 NA NA
462 1.56590481742116 NA NA
463 1.56542764445354 NA NA
464 1.56495362063339 NA NA
465 1.56448271286086 NA NA
466 1.56401488848161 NA NA
467 1.56355011527953 NA NA
468 1.56308836147005 NA NA
469 1.56262959569307 NA NA
470 1.56217378700637 NA NA
471 1.56172090487919 NA NA
472 1.56127091918537 NA NA
473 1.56082380019737 NA NA
474 1.56037951857992 NA NA
475 1.55993804538373 NA NA
476 1.55949935203975 NA NA
477 1.55906341035297 NA NA
478 1.55863019249693 NA NA
479 1.55819967100782 NA NA
480 1.55777181877871 NA NA
481 1.55734660905454 NA NA
482 1.55692401542627 NA NA
483 1.55650401182581 NA NA
484 1.55608657252057 NA NA
485 1.55567167210864 NA NA
486 1.5552592855137 NA NA
487 1.55484938797961 NA NA
488 1.55444195506624 NA NA
489 1.55403696264429 NA NA
490 1.55363438689059 NA NA
491 1.55323420428356 NA NA
492 1.55283639159888 NA NA
493 1.55244092590454 NA NA
494 1.55204778455706 NA NA
495 1.55165694519653 NA NA
496 1.55126838574309 NA NA
497 1.55088208439214 NA NA
498 1.55049801961058 NA NA
499 1.55011617013291 NA NA
500 1.54973651495692 NA NA
501 1.54935903333996 NA NA
502 1.54898370479529 NA NA
503 1.54861050908798 NA NA
504 1.54823942623173 NA NA
505 1.54787043648466 NA NA
506 1.54750352034609 NA NA
507 1.54713865855295 NA NA
508 1.54677583207646 NA NA
509 1.54641502211838 NA NA
510 1.5460562101081 NA NA
511 1.54569937769917 NA NA
512 1.54534450676586 NA NA
513 1.54499157940035 NA NA
514 1.54464057790944 NA NA
515 1.54429148481147 NA NA
516 1.54394428283335 NA NA
517 1.54359895490752 NA NA
518 1.54325548416894 NA NA
519 1.54291385395265 NA NA
520 1.54257404779043 NA NA
521 1.54223604940812 NA NA
522 1.54189984272323 NA NA
523 1.54156541184185 NA NA
524 1.54123274105618 NA NA
525 1.54090181484188 NA NA
526 1.54057261785555 NA NA
527 1.54024513493218 NA NA
528 1.53991935108263 NA NA
529 1.53959525149128 NA NA
530 1.53927282151347 NA NA
531 1.53895204667326 NA NA
532 1.5386329126612 NA NA
533 1.53831540533169 NA NA
534 1.53799951070119 NA NA
535 1.53768521494546 NA NA
536 1.53737250439783 NA NA
537 1.53706136554702 NA NA
538 1.53675178503458 NA NA
539 1.53644374965342 NA NA
540 1.53613724634522 NA NA
541 1.53583226219878 NA NA
542 1.53552878444778 NA NA
543 1.53522680046919 NA NA
544 1.5349262977808 NA NA
545 1.53462726403967 NA NA
546 1.53432968704042 NA NA
547 1.5340335547129 NA NA
548 1.5337388551209 NA NA
549 1.53344557646 NA NA
550 1.53315370705587 NA NA
551 1.53286323536284 NA NA
552 1.53257414996165 NA NA
553 1.53228643955849 NA NA
554 1.53200009298261 NA NA
555 1.53171509918526 NA NA
556 1.53143144723771 NA NA
557 1.53114912632988 NA NA
558 1.53086812576885 NA NA
559 1.53058843497697 NA NA
560 1.53031004349097 NA NA
561 1.53003294095975 NA NA
562 1.52975711714349 NA NA
563 1.52948256191188 NA NA
564 1.52920926524289 NA NA
565 1.52893721722138 NA NA
566 1.52866640803736 NA NA
567 1.52839682798516 NA NA
568 1.52812846746192 NA NA
569 1.52786131696592 NA NA
570 1.52759536709582 NA NA
571 1.52733060854911 NA NA
572 1.52706703212065 NA NA
573 1.52680462870191 NA NA
574 1.52654338927944 NA NA
575 1.52628330493357 NA NA
576 1.52602436683748 NA NA
577 1.52576656625599 NA NA
578 1.52550989454419 NA NA
579 1.52525434314652 NA NA
580 1.52499990359571 NA NA
581 1.52474656751126 NA NA
582 1.52449432659887 NA NA
583 1.52424317264917 NA NA
584 1.5239930975364 NA NA
585 1.52374409321788 NA NA
586 1.52349615173254 NA NA
587 1.52324926520003 NA NA
588 1.52300342582003 NA NA
589 1.52275862587075 NA NA
590 1.52251485770824 NA NA
591 1.52227211376562 NA NA
592 1.52203038655172 NA NA
593 1.52178966865046 NA NA
594 1.5215499527198 NA NA
595 1.52131123149091 NA NA
